episode_id,blue_cube_count,target_index,successful,x_m,y_m,z_m,position_stratum,tray_x_m,tray_y_m
episode_000163,3,0,False,0.5169589421456722,0.0034090940255713034,0.026,15,0.51,0.2499630901133501
episode_000163,3,1,False,0.6041212200455408,-0.17340577770329973,0.026,19,0.51,0.2499630901133501
episode_000163,3,2,False,0.3712963357043629,-0.06824914879090281,0.026,2,0.51,0.2499630901133501
episode_000164,2,0,False,0.5388733470490147,-0.27683078806026523,0.026,12,0.51,0.22655931169248303
episode_000164,2,1,False,0.39310936878111646,0.006591451778616362,0.026,3,0.51,0.22655931169248303
episode_000165,3,0,True,0.633014938539644,0.22430949996456478,0.026,23,0.51,-0.1451648446855659
episode_000165,3,1,True,0.44944695927076955,0.1666098716951313,0.026,10,0.51,-0.1451648446855659
episode_000165,3,2,True,0.5773891166102254,0.1068937213450287,0.026,16,0.51,-0.1451648446855659
episode_000166,1,0,True,0.6004712834138424,-0.17621672414701975,0.026,19,0.51,0.17050280804061263
episode_000167,3,0,True,0.6574390438676487,-0.1630397390728171,0.026,19,0.51,0.2499630901133501
episode_000167,3,1,True,0.4467130809364856,-0.036380344593109515,0.026,8,0.51,0.2499630901133501
episode_000167,3,2,True,0.5861293137939156,0.05072205521825597,0.026,15,0.51,0.2499630901133501
episode_000168,2,0,True,0.5627180546086893,-0.17026856698424547,0.026,13,0.51,0.22655931169248303
episode_000168,2,1,True,0.3762436557216448,0.007629215865178903,0.026,3,0.51,0.22655931169248303
episode_000169,2,0,False,0.5533658023030957,0.13903894896745414,0.026,16,0.51,-0.1451648446855659
episode_000169,2,1,False,0.38277002485429756,0.09176819754516678,0.026,3,0.51,-0.1451648446855659
episode_000170,2,0,True,0.5184841927225654,0.0007874671990689695,0.026,15,0.51,0.17050280804061263
episode_000170,2,1,True,0.3960808248444582,-0.2615089772809389,0.026,0,0.51,0.17050280804061263
episode_000171,1,0,True,0.49651311723327324,-0.19572758149540692,0.026,7,0.51,0.2499630901133501
