episode_id,blue_cube_count,progress_stage,num_remaining,target_index,successful,x_m,y_m,z_m,position_stratum,tray_x_m,tray_y_m
episode_000138,2,0,2,0,False,0.4878168954968457,-0.25367793272609007,0.026,6,0.51,0.21146746279684422
episode_000138,2,0,2,1,False,0.5794550455326193,-0.12647958961550249,0.026,13,0.51,0.21146746279684422
episode_000139,2,1,1,0,True,0.41262771518479213,0.1430701518520675,0.026,4,0.51,-0.1830017277641439
episode_000141,1,0,1,0,True,0.47862957671912115,0.23281804884563168,0.026,11,0.51,-0.16525924989546875
episode_000142,1,0,1,0,True,0.47182723329246934,-0.2402437920859731,0.026,6,0.51,0.21146746279684422
episode_000143,2,0,2,0,True,0.3973223555682676,0.16600396545493368,0.026,4,0.51,-0.1830017277641439
episode_000143,2,0,2,1,True,0.6036610078075489,0.002516550036150624,0.026,21,0.51,-0.1830017277641439
episode_000144,2,0,2,0,True,0.3954661850238031,-0.1928879097184863,0.026,1,0.51,0.199856978609068
episode_000144,2,0,2,1,True,0.6115969739040547,-0.24265776155011026,0.026,18,0.51,0.199856978609068
episode_000146,2,0,2,0,True,0.3765666246034687,-0.01567892658746757,0.026,2,0.51,0.21146746279684422
episode_000146,2,0,2,1,True,0.6179872246308971,-0.26724457961833264,0.026,18,0.51,0.21146746279684422
episode_000150,2,0,2,0,True,0.4046397065896827,0.022683047204922934,0.026,3,0.51,0.21146746279684422
episode_000150,2,0,2,1,True,0.6029491033699069,-0.16246865447194023,0.026,19,0.51,0.21146746279684422
episode_000151,2,0,2,0,False,0.4324439232414692,-0.22004569814408725,0.026,0,0.51,0.23208123069127348
episode_000151,2,0,2,1,False,0.6258041058215009,-0.19483558185569363,0.026,19,0.51,0.23208123069127348
episode_000153,1,0,1,0,True,0.48246337124000277,0.024879635516870155,0.026,9,0.51,-0.23771861983736764
episode_000155,1,0,1,0,True,0.5870933516401559,-0.18414117460946133,0.026,19,0.51,0.23208123069127348
episode_000156,2,0,2,0,True,0.5797048014828209,-0.2571534991784124,0.026,12,0.51,0.21314741073137272
episode_000156,2,0,2,1,True,0.44217320601202975,-0.020380508061634106,0.026,8,0.51,0.21314741073137272
episode_000157,2,0,2,0,True,0.5369518533119433,0.1784277241251866,0.026,16,0.51,-0.23771861983736764
episode_000157,2,0,2,1,True,0.47908183519192915,0.03655802808049816,0.026,9,0.51,-0.23771861983736764
episode_000158,2,0,2,0,False,0.5822762088200031,-0.1607862905629645,0.026,13,0.51,0.2456055205640743
episode_000158,2,0,2,1,False,0.49170184695706226,-0.28658592691514884,0.026,6,0.51,0.2456055205640743
episode_000161,2,0,2,0,True,0.5581777264457971,-0.046050582368841776,0.026,14,0.51,-0.23771861983736764
episode_000161,2,0,2,1,True,0.5110778906619277,0.1549920473957497,0.026,10,0.51,-0.23771861983736764
episode_000162,1,0,1,0,True,0.6183214724302858,-0.03633963789414525,0.026,20,0.51,0.2456055205640743
episode_000163,2,0,2,0,False,0.5399205117104409,0.007268359227362303,0.026,15,0.51,0.23208123069127348
episode_000163,2,0,2,1,False,0.4640286093302112,-0.1595005347297177,0.026,7,0.51,0.23208123069127348
episode_000165,1,0,1,0,True,0.5903273782097663,-0.006193426833573004,0.026,20,0.51,-0.23771861983736764
episode_000170,1,0,1,0,True,0.5947915297270432,-0.252944462422648,0.026,18,0.51,0.2456055205640743
episode_000172,2,0,2,0,True,0.5400786238850894,-0.2834701938020163,0.026,12,0.51,0.21314741073137272
episode_000172,2,0,2,1,True,0.46984442097167567,-0.10052296049515712,0.026,7,0.51,0.21314741073137272
episode_000173,2,0,2,0,True,0.6401231390807077,0.19444591823024984,0.026,22,0.51,-0.23771861983736764
episode_000173,2,0,2,1,True,0.3878732429307576,-0.0643769963187357,0.026,2,0.51,-0.23771861983736764
episode_000174,2,0,2,0,False,0.6348679893979268,-0.15271389032664423,0.026,19,0.51,0.2456055205640743
episode_000174,2,0,2,1,False,0.37627930797157877,0.04073937942238453,0.026,3,0.51,0.2456055205640743
episode_000175,1,0,1,0,True,0.6302031087475343,-0.2324775771794085,0.026,18,0.51,0.23208123069127348
episode_000177,2,1,1,0,True,0.6417842551799889,-0.03339552208579137,0.026,20,0.51,-0.23771861983736764
episode_000179,1,0,1,0,True,0.6034914698413038,0.011708539367428137,0.026,21,0.51,0.23208123069127348
episode_000180,2,0,2,0,True,0.6114674847201492,-0.04494988741335619,0.026,20,0.51,0.21314741073137272
episode_000180,2,0,2,1,True,0.40438472285098004,-0.21366135766980454,0.026,0,0.51,0.21314741073137272
episode_000181,1,0,1,0,True,0.38233347420694946,0.1037923687128256,0.026,4,0.51,-0.23771861983736764
episode_000184,2,0,2,0,True,0.6398836533458108,0.0008718517504489298,0.026,21,0.51,0.21314741073137272
episode_000184,2,0,2,1,True,0.4294812565853491,-0.19692535395278288,0.026,1,0.51,0.21314741073137272
episode_000185,2,0,2,0,True,0.5927274016121599,0.24252778583461881,0.026,23,0.51,-0.23771861983736764
episode_000185,2,0,2,1,True,0.42812747564463727,-0.056174069902683206,0.026,2,0.51,-0.23771861983736764
episode_000186,1,0,1,0,True,0.39511952219064855,-0.052766587630404316,0.026,2,0.51,0.2456055205640743
episode_000187,1,0,1,0,True,0.39300506467059176,-0.03621116670563056,0.026,2,0.51,0.23208123069127348
episode_000189,2,0,2,0,True,0.441895866778504,0.11741168767277636,0.026,10,0.51,-0.23771861983736764
