episode_id,blue_cube_count,red_cube_count,successful,completed,failed,scenario_mode,seed,progress_stage,num_blue_total,num_preplaced,num_remaining,preplaced_blue_cube_names,start_position_stratum,start_ee_position_fallback,start_ee_position_fallback_shift_m,start_ee_reached,start_ee_yaw_requested_deg,start_ee_yaw_offset_deg,start_ee_yaw_fallback_scale,start_ee_yaw_error_deg,start_ee_orientation_reached,trajectory_modes,recovery_planned,recovery_augmented,recovery_completed,solver_recovery_attempts,solver_recovery_total_attempts,failure_reason,failed_state,slot_index,frames,duration_s,path_length_m,displacement_m,x_min_m,x_max_m,x_span_m,y_min_m,y_max_m,y_span_m,z_min_m,z_max_m,z_span_m
episode_000320,2,2,False,False,True,blue_tray,91326,0,2,0,2,,15,False,0.0,True,,,,0.1031,True,direct;direct,False,False,False,1,1,solver_recovery_exhausted,recenter_after_yaw,1,724,48.2,2.25588997435027,0.5313255860254188,0.4106934070587158,0.5910849571228027,0.18039155006408691,-0.17537903785705566,0.3161659240722656,0.4915449619293213,0.03102816641330719,0.3807339668273926,0.3497058004140854
episode_000321,2,2,True,True,False,blue_tray,91327,0,2,0,2,,5,False,0.0,True,,,,0.0687,True,recovery;direct,True,False,False,0,0,,,2,721,48.0,2.4758341092882086,0.5308754621842579,0.43872368335723877,0.6199290752410889,0.1812053918838501,-0.21705269813537598,0.2538501024246216,0.47090280055999756,0.03135300055146217,0.4894866943359375,0.4581336937844753
episode_000322,2,2,True,True,False,blue_tray,91328,0,2,0,2,,61,False,0.0,True,,,,0.1063,True,direct;direct,False,False,False,0,0,,,2,515,34.266666666666666,1.8941965515932906,0.26626989541091717,0.456223726272583,0.6355991363525391,0.17937541007995605,-0.17178785800933838,0.12144160270690918,0.29322946071624756,0.03209884464740753,0.3846914768218994,0.3525926321744919
episode_000323,1,2,True,True,False,blue_tray,91329,0,1,0,1,,66,False,0.0,True,,,,0.1681,True,direct,False,False,False,0,0,,,1,270,17.933333333333334,0.8488072230881973,0.3307065823765861,0.46793270111083984,0.676530122756958,0.20859742164611816,-0.09343671798706055,0.14631962776184082,0.23975634574890137,0.032974421977996826,0.3420844078063965,0.30910998582839966
episode_000324,2,2,True,True,False,blue_tray,91330,1,2,1,1,blue_cube_0,,False,0.0,True,39.6095,39.6095,1.0,2.4905,True,preplaced;direct,False,False,False,0,0,,,2,292,19.4,1.0561629327447137,0.1465432868185663,0.45137524604797363,0.6366524696350098,0.18527722358703613,-0.1744091510772705,0.14220237731933594,0.31661152839660645,0.0328737273812294,0.28062528371810913,0.24775155633687973
episode_000325,1,2,True,True,False,blue_tray,91331,0,1,0,1,,16,False,0.0,True,,,,0.0568,True,direct,False,False,False,0,0,,,1,302,20.066666666666666,1.1879882653559124,0.22968534046371636,0.3749963045120239,0.5145442485809326,0.1395479440689087,-0.08482694625854492,0.32749736309051514,0.41232430934906006,0.03280690312385559,0.3592686653137207,0.3264617621898651
episode_000326,2,2,True,True,False,blue_tray,91332,1,2,1,1,blue_cube_0,,False,0.0,True,-36.3658,-36.3658,1.0,2.2585,True,preplaced;direct,False,False,False,0,0,,,2,191,12.666666666666666,0.7771777945179413,0.13376020603908592,0.4513322114944458,0.6251305341720581,0.1737983226776123,-0.16827142238616943,-0.005991697311401367,0.16227972507476807,0.032271526753902435,0.2618817389011383,0.22961021214723587
episode_000327,2,2,True,True,False,blue_tray,91333,1,2,1,1,blue_cube_1,,False,0.0,True,-2.1844,-2.1844,1.0,2.1308,True,recovery;preplaced,True,True,True,0,0,,,2,272,18.066666666666666,1.0269149234727926,0.12322438382216855,0.43970155715942383,0.5647587776184082,0.12505722045898438,-0.10136866569519043,0.19258606433868408,0.2939547300338745,0.03323306888341904,0.25948962569236755,0.22625655680894852
episode_000328,2,2,True,True,False,blue_tray,91334,0,2,0,2,,8,False,0.0,True,,,,0.0722,True,direct;direct,False,False,False,0,0,,,2,540,35.93333333333333,2.106711985973643,0.39719065674520865,0.3986396789550781,0.6186938285827637,0.22005414962768555,-0.17386269569396973,0.15166616439819336,0.3255288600921631,0.03216134011745453,0.5363284349441528,0.5041670948266983
episode_000329,2,2,True,True,False,blue_tray,91335,1,2,1,1,blue_cube_1,,False,0.0,True,-25.9325,-25.9325,1.0,2.4928,True,direct;preplaced,False,False,False,0,0,,,2,237,15.733333333333333,0.970650976682888,0.15732337293884127,0.4088054895401001,0.5575453042984009,0.14873981475830078,-0.0498807430267334,0.2560621500015259,0.3059428930282593,0.031868405640125275,0.23429200053215027,0.202423594892025
